driver_ref,driver_modal,driver_type,jan_own_channel_share,feb_own_channel_share,mar_own_channel_share,apr_own_channel_share,total_completed_deliveries
DRIVER-CARD-17749,MOTOBOY,FREELANCE,2.39,2.59,11.44,14.49,887
DRIVER-CARD-00794,BIKER,FREELANCE,3.19,4.57,6.14,9.35,735
DRIVER-CARD-10927,MOTOBOY,FREELANCE,4.11,5.15,15.73,18.75,674
DRIVER-CARD-32130,MOTOBOY,LOGISTIC OPERATOR,5.00,9.94,13.58,14.63,669
DRIVER-CARD-01203,BIKER,FREELANCE,2.52,2.58,12.74,15.00,646
DRIVER-CARD-24584,MOTOBOY,FREELANCE,2.99,5.06,20.45,30.95,640
DRIVER-CARD-31999,MOTOBOY,FREELANCE,10.88,11.64,27.63,32.26,614
DRIVER-CARD-18715,MOTOBOY,FREELANCE,2.63,8.33,17.37,18.71,602
DRIVER-CARD-25592,MOTOBOY,FREELANCE,7.41,10.38,15.96,23.33,601
DRIVER-CARD-14059,BIKER,FREELANCE,5.41,6.29,7.82,13.93,592
